product_id,brand,title,ingredient_name,amount,daily_value,serving_size
107588,California Gold Nutrition,"California Gold Nutrition, 骨骼支持食品，含胶原蛋白肽、透明质酸、维生素和矿物质，原味，14.5 盎司（411 克）",锌（单蛋氨酸锌）,2.75 毫克,25%,1 勺（7 克）
107588,California Gold Nutrition,"California Gold Nutrition, 骨骼支持食品，含胶原蛋白肽、透明质酸、维生素和矿物质，原味，14.5 盎司（411 克）",钠,15 毫克,1%,1 勺（7 克）
107588,California Gold Nutrition,"California Gold Nutrition, 骨骼支持食品，含胶原蛋白肽、透明质酸、维生素和矿物质，原味，14.5 盎司（411 克）",水解海洋胶原蛋白肽,5 克,†,1 勺（7 克）
107588,California Gold Nutrition,"California Gold Nutrition, 骨骼支持食品，含胶原蛋白肽、透明质酸、维生素和矿物质，原味，14.5 盎司（411 克）",透明质酸（透明质酸钠）,60 毫克,†,1 勺（7 克）
107588,California Gold Nutrition,"California Gold Nutrition, 骨骼支持食品，含胶原蛋白肽、透明质酸、维生素和矿物质，原味，14.5 盎司（411 克）",维生素 K2（甲萘醌-7 [MK-7]）,120 微克,†,1 勺（7 克）
86731,Nature's Way,"Nature's Way, Alive! 头发、肌肤和指甲呵护软糖，草莓味，60 粒",热量,20,,2 粒软糖
86731,Nature's Way,"Nature's Way, Alive! 头发、肌肤和指甲呵护软糖，草莓味，60 粒",总碳水化合物,4 克,1%†,2 粒软糖
86731,Nature's Way,"Nature's Way, Alive! 头发、肌肤和指甲呵护软糖，草莓味，60 粒",​​​总糖,3 克,**,2 粒软糖
86731,Nature's Way,"Nature's Way, Alive! 头发、肌肤和指甲呵护软糖，草莓味，60 粒",含 3 克添加糖,,6%†,2 粒软糖
86731,Nature's Way,"Nature's Way, Alive! 头发、肌肤和指甲呵护软糖，草莓味，60 粒",维生素 C（抗坏血酸）,135 毫克,150%,2 粒软糖
86731,Nature's Way,"Nature's Way, Alive! 头发、肌肤和指甲呵护软糖，草莓味，60 粒",维生素 E（dl-α-生育酚乙酸酯）,30 毫克,200%,2 粒软糖
86731,Nature's Way,"Nature's Way, Alive! 头发、肌肤和指甲呵护软糖，草莓味，60 粒",生物维生素,"2,500 微克",8333%,2 粒软糖
86731,Nature's Way,"Nature's Way, Alive! 头发、肌肤和指甲呵护软糖，草莓味，60 粒",钠,10 毫克,< 1%,2 粒软糖
86731,Nature's Way,"Nature's Way, Alive! 头发、肌肤和指甲呵护软糖，草莓味，60 粒",水解胶原蛋白,100 毫克,**,2 粒软糖
86731,Nature's Way,"Nature's Way, Alive! 头发、肌肤和指甲呵护软糖，草莓味，60 粒",Orchard Fruits™ 和 Garden Veggies™ 粉混合物：香橙、蓝莓、胡萝卜、梅子、石榴、草莓、梨、苹果、甜菜、树莓、凤梨、南瓜、樱桃、西兰花、葡萄、香蕉、甘蓝、番茄、巴西莓、芦笋、抱子甘蓝芽、蔓越橘、黄瓜、豌豆、西兰花、菠菜,50 毫克,**,2 粒软糖
78213,Vital Proteins,"Vital Proteins, 胶原蛋白肽，360 粒胶囊（每粒胶囊 550 毫克）",热量,10,,6 粒胶囊
78213,Vital Proteins,"Vital Proteins, 胶原蛋白肽，360 粒胶囊（每粒胶囊 550 毫克）",蛋白质,3 克,0%*,6 粒胶囊
78213,Vital Proteins,"Vital Proteins, 胶原蛋白肽，360 粒胶囊（每粒胶囊 550 毫克）",钠,20 毫克,1%,6 粒胶囊
78213,Vital Proteins,"Vital Proteins, 胶原蛋白肽，360 粒胶囊（每粒胶囊 550 毫克）",胶原蛋白肽（来自牛肉）,3.3 克,**,6 粒胶囊
115921,NaturesPlus,"NaturesPlus, 胶原蛋白多肽，浆果柠檬水味，0.8 磅（364 克）",热量,90,,约 2 满勺（26 克）
115921,NaturesPlus,"NaturesPlus, 胶原蛋白多肽，浆果柠檬水味，0.8 磅（364 克）",钠,50 毫克,2%,约 2 满勺（26 克）
115921,NaturesPlus,"NaturesPlus, 胶原蛋白多肽，浆果柠檬水味，0.8 磅（364 克）",总碳水化合物,2 克,< 1%,约 2 满勺（26 克）
115921,NaturesPlus,"NaturesPlus, 胶原蛋白多肽，浆果柠檬水味，0.8 磅（364 克）",蛋白质,20 克,‡,约 2 满勺（26 克）
115921,NaturesPlus,"NaturesPlus, 胶原蛋白多肽，浆果柠檬水味，0.8 磅（364 克）",维生素 C（抗坏血酸）,10 毫克,11%,约 2 满勺（26 克）
115921,NaturesPlus,"NaturesPlus, 胶原蛋白多肽，浆果柠檬水味，0.8 磅（364 克）",水解草饲牛肉胶原蛋白、鱼胶原蛋白、鸡胶原蛋白和蛋壳膜胶原蛋白浓缩物（包括 I、II、III、IV、V、X 型）,20 克,†,约 2 满勺（26 克）
115921,NaturesPlus,"NaturesPlus, 胶原蛋白多肽，浆果柠檬水味，0.8 磅（364 克）",胶原蛋白加强酶（蛋白酶）功能,20 毫克,†,约 2 满勺（26 克）
